Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Primary motor cortex,,A region in the frontal lobe responsible for initiating voluntary motor movements. Located in the precentral gyrus.,Motor Cortex,,,,M1,,,,,,,frontal lobe,motor movement,precentral gyrus,voluntary movement,motor control,motor homunculus,,
Primary somatosensory cortex,,"Located in the postcentral gyrus of the parietal lobe, it processes tactile and proprioceptive information from the body.",Somatosensory Cortex,,,,S1,,,,,,,postcentral gyrus,parietal lobe,tactile,proprioception,sensory processing,sensory homunculus,,
Prion,,"A misfolded protein that can cause other proteins to misfold, leading to neurodegenerative diseases such as Creutzfeldt-Jakob disease.",Prions,,,,PrP,,,prion,,,,protein misfolding,Creutzfeldt-Jakob disease,neurodegeneration,transmissible spongiform encephalopathy,infectious protein,,,
Procedural memory,,"A type of long-term memory for performing tasks and skills (e.g., riding a bike), often associated with the basal ganglia and cerebellum.",Memory,,,,,,,,,procedural,,long-term memory,basal ganglia,cerebellum,skill learning,motor learning,,,
Prosopagnosia,,"A neurological disorder characterized by the inability to recognize faces, often due to damage in the fusiform face area.",Prosopagnosia,face blindness,,,,,,prosopagnosia,,,,face recognition,fusiform face area,temporal lobe,visual agnosia,facial perception,,,
Purkinje cell,,"A large, GABAergic neuron located in the cerebellar cortex. It has extensive dendritic branching and is essential for motor coordination.",Purkinje Cells,,,,,,,,,,,cerebellum,GABAergic,motor coordination,dendritic branching,cerebellar cortex,,,
Pyramidal cell,,"A type of excitatory neuron found in the cerebral cortex, especially the motor cortex. Named for its pyramid-shaped soma.",Pyramidal Cells,pyramidal neuron,,,,,,,,pyramidal,,cerebral cortex,excitatory neuron,motor cortex,glutamate,soma,,,
Pyramidal tract,,"A major motor pathway that transmits signals from the cerebral cortex to the spinal cord, enabling voluntary movement.",Pyramidal Tracts,corticospinal tract,,,,,,,,pyramidal,,motor pathway,cerebral cortex,spinal cord,voluntary movement,motor control,,,
Paresthesia,,"Paresthesia refers to a burning, itching, tingling, or prickling sensation that is usually felt in the hands, arms, legs, or feet.",Paresthesia,Paraesthesia,Pins and needles,Tingling sensation,,Paraesthesia,Paresthesia,Paresthesia,,Paresthetic,,Sensory disturbance,Peripheral neuropathy,Nerve compression,Numbness,Hyperesthesia,Dysesthesia,Nerve irritation,Tactile sensation
Pinched Nerve,,"A pinched nerve is an informal term and not a true medical term. It is used to describe one type of damage or injury to a nerve or set of nerves. The injury may result from compression, constriction, or stretching.",Radiculopathy,Nerve compression,Compressed nerve,Nerve entrapment,,,,,,,,,Radiculopathy,Nerve impingement,Spinal stenosis,Herniated disc,Carpal tunnel syndrome,Neuropathy,Nerve root compression,Sciatica
Plasmapheresis,,"Plasmapheresis is a procedure in which blood is removed, immune system cells and antibodies are taken out, and the blood is separated into plasma and blood cells. The blood is then returned to the body.",Plasmapheresis,Plasma exchange,Therapeutic plasma exchange,,TPE,,,Plasmapheresis,,,,Immunotherapy,Autoantibodies,Immunoglobulin removal,Myasthenia gravis,Guillain-Barré syndrome,Blood purification,Plasma separation,Therapeutic apheresis
Platelets,,Platelets are cell fragments in the blood that form clots to stop or prevent bleeding.,Platelets,Thrombocytes,Blood platelets,,,,,Platelet,,,Platelet,Hemostasis,Coagulation,Blood clotting,Thrombosis,Megakaryocytes,Platelet aggregation,Clotting factors,Blood cells
